2,2
2,2
2,2
2,2
2,2
3,1
2,2
2,2
2,2
2,2
3,2
3,2
2,2
3,2
2,2
3,2
3,2
2,2
2,2
2,2
2,1
2,2
3,2
2,2
2,2
3,1
2,2
2,2
2,1
2,1
3,2
3,2
2,2
3,2
3,2
3,2
2,2
2,2
2,2
3,2
3,2
2,1
2,2
2,2
2,2
2,2
2,2
3,2
2,1
2,2
2,0
1,0
5,3
5,7
1,1
5,2
1,7
2,6
6,5
28,31
2,7
8,16
0,9
2,12
4,11
3,15
4,13
0,15
4,16
2,14
3,14
1,18
1,20
3,19
4,18
5,28
4,23
6,34
6,25
5,38
4,43
1,46
5,47
0,51
8,51
5,57
5,58
4,60
7,66
6,68
11,67
6,73
8,72
9,72
15,79
16,76
20,73
18,78
19,80
24,84
23,79
22,80
19,79
18,76
16,81
22,81
21,85
22,85
18,85
22,90
24,87
26,86
19,88
19,90
24,88
22,90
24,87
19,90
17,85
17,87
16,88
21,89
14,90
20,85
16,80
20,79
11,81
15,78
7,78
15,75
10,77
11,73
9,71
12,70
15,70
15,81
10,65
6,62
4,57
8,53
6,46
0,44
0,41
1,35
3,28
3,27
2,26
2,25
1,21
5,16
2,14
2,15
3,10
2,14
6,8
2,7
3,3
1,0
6,4
2,1
3,2
6,0
2,2
2,2
4,10
3,12
1,15
1,19
2,20
1,22
1,26
4,25
2,27
2,39
6,39
4,43
7,45
10,50
13,52
10,54
10,62
9,65
17,66
12,69
15,69
13,72
15,73
17,75
11,77
11,78
13,77
15,80
17,78
16,81
17,79
31,85
19,83
18,84
15,84
21,84
18,83
24,85
21,84
21,83
15,85
21,84
17,83
19,84
16,85
16,85
17,85
17,86
16,86
17,85
19,85
16,86
9,85
16,86
12,86
14,86
15,87
13,85
16,87
11,84
15,87
15,85
14,86
16,86
16,87
15,86
16,86
16,86
17,86
16,87
16,85
18,85
15,86
14,86
16,86
17,85
17,86
16,86
16,87
17,85
16,85
18,86
20,86
17,84
21,86
16,86
19,84
18,84
21,85
20,85
21,85
19,85
